Phrase;Class
Life is amazing!;joy
You mean the world to me.;love
You mean the world to me.;love
I feel so joyful today.;joy
I couldn't ask for anything more!;joy
Wow, I didn't see that coming!;surprise
What a surprise!;surprise
This is pure love.;love
I feel so joyful today.;joy
I'm so scared of what might happen.;fear
This is the best day ever!;joy
I can't shake this fear.;fear
I can't stop feeling sad.;sadness
This is infuriating!;anger
Why does it hurt so much?;sadness
This is unbelievable!;surprise
I'm so angry right now.;anger
This is unbelievable!;surprise
This is so heartbreaking.;sadness
I can't stop feeling sad.;sadness
Why do I feel so anxious?;fear
I can't believe this!;surprise
Why does it hurt so much?;sadness
This is infuriating!;anger
This is unbelievable!;surprise
Everything feels empty.;sadness
Life is amazing!;joy
This is terrifying.;fear
I can't believe they did this!;anger
This is the best day ever!;joy
I can't imagine my life without you.;love
What a surprise!;surprise
I can't believe they did this!;anger
Wow, I didn't see that coming!;surprise
I feel so down.;sadness
Life is amazing!;joy
This is unbelievable!;surprise
This is the best day ever!;joy
I can't stop feeling sad.;sadness
I'm so grateful for your love.;love
This makes me so mad!;anger
Why does it hurt so much?;sadness
I love spending time with you.;love
This is unbelievable!;surprise
I'm so happy right now!;joy
Why do they always mess things up?;anger
I can't imagine my life without you.;love
I'm so angry right now.;anger
Life is amazing!;joy
This makes me so mad!;anger
