That's really gross.;disgust;;;;
Couldn't ask for anything better!;joy;;;;
What if something goes wrong?;fear;;;;
This makes me so mad!;anger;;;;
I feel so down.;sadness;;;;
It's just an average day.;neutral;;;;
I can't believe they did this!;anger;;;;
I can't believe this!;surprise;;;;
I am so happy right now!;joy;;;;
I really love this!;love;;;;
I'm so grateful for you.;love;;;;
I can't stand this.;disgust;;;;
I'm heartbroken.;sadness;;;;
What if something goes wrong?;fear;;;;
I feel so down.;sadness;;;;
How dare they!;anger;;;;
I can't believe this!;surprise;;;;
This feels dangerous.;fear;;;;
This is unacceptable!;anger;;;;
What a surprise!;surprise;;;;
I'm so nervous!;fear;;;;
This is unacceptable!;anger;;;;
This feels dangerous.;fear;;;;
I can't believe they did this!;anger;;;;
I can't believe they did this!;anger;;;;
I feel repulsed by this.;disgust;;;;
This makes me so mad!;anger;;;;
What if something goes wrong?;fear;;;;
This is such a disappointment.;sadness;;;;
You mean so much to me.;love;;;;
What if something goes wrong?;fear;;;;
I'm really scared about this.;fear;;;;
This feels dangerous.;fear;;;;
I am so happy right now!;joy;;;;
I really love this!;love;;;;
What if something goes wrong?;fear;;;;
Oh wow, I didn't expect that!;surprise;;;;
This is unacceptable!;anger;;;;
This is amazing!;joy;;;;
I can't stand this.;disgust;;;;
I'm so nervous!;fear;;;;
Nothing special here.;neutral;;;;
What a surprise!;surprise;;;;
That's astonishing!;surprise;;;;
You mean so much to me.;love;;;;
This makes me so mad!;anger;;;;
I'm so nervous!;fear;;;;
I'm so grateful for you.;love;;;;
This feels dangerous.;fear;;;;
I can't stand this.;disgust;;;;
